unique_id,phase,ietitle,iecode,TTL,TTL_dime,i2i_type,prev_i2i,i2i_call,Unit,region,country,fcs_country,ida_country,income_country,wb_network,program,GP,theme,CCSA,Gender,sectorFCS,cn_yes,CN_rev_date,ie_start_date,ie_end_date,status,status_followup_no,WBG_proj_associated,ProjectId,WBG_proj_name,WBG_proj_TTL_name
1,After IE results are available for discussion,Sunaula Hazar Din Community Action for Nutrition IE,P143931,Susumu Yoshida,No,Non-i2i,No,,,SAR,Nepal,No,Yes,Lower middle income,Human Development,Health,"Health, Nutrition & Population","Social, Urban, Rural & Resilience",Gender,Yes,No,No,10/4/2013,12/1/2012,3/30/2018,Completed: there is a reviewed report on final results,,Yes,P125359,community nutrition project,Manav Bhattarai
2,After IE results are available for discussion,"Impact Evaluation of the ""Entreprenant Status"" in Benin",P153242,"Massimiliano Santini, David McKenzie,  David McKenzie",No,i2i,,Ongoing,,AFR,Benin,No,Yes,Lower middle income,Equitable Growth Finance and Institutions,FPD,"Macroeconomics, Trade & Investment","Finance, Competitiveness & Innovation",Jobs,No,No,No,12/3/2012,4/16/2013,1/31/2017,Working Paper: there is a finished working paper,,Yes,P104881,1. Competitiveness and Integrated Growth Opportunity Project2. IFC Benin Investment Climate project,1. Magueye Dia; 2. Hamidou Sorgo
3,Before CN Review,A Property Tax Experiment in Colombian Municipalities,P156608,Jürgen Rene Blum,No,Non-i2i,,Governance,,LCR,Colombia,No,No,Upper middle income,Equitable Growth Finance and Institutions,IEGovern,Governance,,Not Applicable,No,No,,,,,Preparation for CN: up to CN review,,Yes,P123879,Subnational Institutional Strengthening,Pedro Arizti
4,Before CN Review,A Randomized Controlled Trial of High-Speed Internet Access in Tunisia,P158841,Eric Mvukiyehe,Yes,Non-i2i,,Transport & ICTs,,MNA,Tunisia,No,No,Lower middle income,Equitable Growth Finance and Institutions,IEConnect;Digital Development,Digital Development,,Jobs,No,No,,,,,Preparation for CN: up to CN review,,Yes,P152173,Accelerating High-Speed Internet Access in Tunisia,Michel Rogy
5,After IE results are available for discussion,Accelerated Food Security Project,P118913,Xavier Gine,No,Non-i2i,No,,,AFR,Tanzania,No,Yes,Lower middle income,Human Development,Rural Development,Agriculture,"Social, Urban, Rural & Resilience",Not Applicable,No,No,No,1/31/2014,1/4/2009,1/4/2014,Completed: there is a reviewed report on final results,,Yes,P114291,Tanzania - Accelerated Food Security Project,David Rohrbach
6,Before CN Review,Accelerating Growth - High-Speed Internet in Mauritania,P158665,Kevin Croke,Yes,Non-i2i,,Transport & ICTs,,AFR,Mauritania,No,Yes,Lower middle income,Equitable Growth Finance and Institutions,IEConnect;Digital Development,Digital Development,Transport,Jobs,No,No,,,,,Preparation for CN: up to CN review,,Yes,P155876,West Africa Regional Communications Infrastructure Project - SOP3,Arthur Foch
7,After IE results are available for discussion,Aceh Community Ranger Program IE,P146354,Audrey Sacks,No,i2i,,Ongoing,,EAP,Indonesia,No,No,Upper middle income,Sustainable Development,Environment,Environment & Natural Resources,"Social, Urban, Rural & Resilience",Climate Change;Fragility Conflict and Violence;Jobs,No,Yes,No,2/27/2015,6/27/2013,12/15/2015,Completed: there is a reviewed report on final results,,Yes,P125019,Aceh Community Ranger Program,Adrian Morel
8,Before CN Review,Agribusiness Trade Competitiveness,Z8gB82O,Ana Margarida Fernandes,No,Non-i2i,,Trade & Competitiveness / Finance & Markets,,EAP,Philippines,No,No,Lower middle income,Equitable Growth Finance and Institutions,Rural Development;FPD;FPD,"Macroeconomics, Trade & Investment",,Not Applicable,No,No,,,,,Preparation for CN: up to CN review,,Yes,P587207,Philippines Agri Trade,"Roberto Martin Nolan Galang, Georgiana Pop"
9,After CN Review but before baseline results are available for discussion (or before implementation starts if the IE has no baseline),Argentina Solar Home Systems and Tariff Impact Evaluation,P155233,"Arndt Reichert,  Arndt Reichert, Aidan Coville",Yes,Non-i2i,,Energy and Environment,,LCR,Argentina,No,No,Upper middle income,Sustainable Development,Energy,Energy,,Climate Change;Gender,Yes,No,,11/23/2015,10/15/2014,12/20/2019,Preparation for baseline / intervention: between CN review and baseline,,Yes,P133288,Argentina Renewable Energy Project for Rural Areas,Lucia Spinelli
10,After CN Review but before baseline results are available for discussion (or before implementation starts if the IE has no baseline),Attracting & deploying talent to reform civil service in DRC,P152612,Eric Mvukiyehe,Yes,i2i,,"Fragility, Conflict, & Violence",,AFR,"Congo, Dem. Rep.",Yes,Yes,Low income,Human Development,IEGovern;E4Peace,Governance,Governance,Fragility Conflict and Violence,No,Yes,Yes,11/8/2017,8/13/2014,4/2/2021,Baseline: in the field or completed baseline,,Yes,P122229,Public Service Reform and Rejuvenation Project,Mamadou Lamarane Deme
